StdID,StdName,Sex,Percentage,Class,Sec,Stream,DOB
1001,SUREKHA JOSHI,Female,82,12,A,Science,08-03-1998
1002,MAAHI AGARWAL,Female,56,11,C,Commerce,23-11-2008
1003,SANAM VERMA,Male,59,11,C,Commerce,29-06-2006
1004,RONIT KUMAR,Male,63,11,C,Commerce,05-11-1997
1005,DIPESH PULKIT,Male,78,11,B,Science,14-09-2003
1006,JAHANVI PURI,Female,60,11,B,Commerce,07-11-2008
1007,SANAM KUMAR,Male,23,12,F,Commerce,08-03-1998
1008,SAHIL SARAS,Male,56,11,C,Commerce,07-11-2008
1009,AKSHRA AGARWAL,Female,72,12,B,Commerce,01-10-1996
1010,STUTI MISHRA,Female,39,11,F,Science,23-11-2008
1011,HARSH AGARWAL,Male,42,11,C,Science,08-03-1998
1012,NIKUNJ AGARWAL,Male,49,12,C,Commerce,28-06-1998
1013,AKRITI SAXENA,Female,89,12,A,Science,23-11-2008
1014,TANI TASTOGI,Female,82,12,A,Science,23-11-2008
